First Name,Last Name,City,State,Account Email,Quarterly,Size,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
Alline,Jeanty,South Bend,IN,ajeanty@gmail.com,Q1,L,Button Down Shirt,LS Shirt,Crewneck Sweater,LS Shirt,Crewneck Sweater,Zip up Jacket,SS Shirt,SS Shirt,Hoodie,LS Shirt
Alpha,Palaia,Cherry Hill,NJ,alpha@yahoo.com,Q1,XL,LS Shirt,Hoodie,LS Shirt,SS Shirt,LS Shirt,SS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,Hoodie
Alyce,Arias,Stockton,CA,alyce@arias.org,Q1,L,SS Shirt,Crewneck Sweater,LS Shirt,SS Shirt,LS Shirt,LS Shirt,Hoodie,Hoodie,Hoodie,SS Shirt
Amber,Monarrez,Jenkintown,PA,amber_monarrez@monarrez.org,Q1,S,Hoodie,Hoodie,SS Shirt,SS Shirt,SS Shirt,Zip up Jacket,LS Shirt,Hoodie,LS Shirt,Hoodie
Amie,Perigo,Mesquite,TX,amie.perigo@yahoo.com,Q1,L,SS Shirt,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,SS Shirt,Button Down Shirt
Ammie,Corrio,Columbus,OH,ammie@corrio.com,Q1,S,LS Shirt,SS Shirt,LS Shirt,SS Shirt,Hoodie,SS Shirt,Crewneck Sweater,SS Shirt,Hoodie,LS Shirt
An,Fritz,Atlantic City,NJ,an_fritz@hotmail.com,Q1,L,Button Down Shirt,LS Shirt,LS Shirt,SS Shirt,SS Shirt,SS Shirt,Zip up Jacket,LS Shirt,Hoodie,Hoodie
Andra,Scheyer,Salem,OR,andra@gmail.com,Q1,S,SS Shirt,Crewneck Sweater,SS Shirt,Hoodie,Crewneck Sweater,Zip up Jacket,SS Shirt,Crewneck Sweater,LS Shirt,Zip up Jacket
Angella,Cetta,Honolulu,HI,angella.cetta@hotmail.com,Q1,M,Hoodie,LS Shirt,Hoodie,LS Shirt,LS Shirt,LS Shirt,Hoodie,LS Shirt,Zip up Jacket,Hoodie
Annabelle,Boord,Concord,MA,annabelle.boord@cox.net,Q1,L,Crewneck Sweater,Crewneck Sweater,Button Down Shirt,LS Shirt,Zip up Jacket,LS Shirt,SS Shirt,SS Shirt,Button Down Shirt,SS Shirt
Annelle,Tagala,Parkville,MD,annelle@yahoo.com,Q1,S,LS Shirt,SS Shirt,Hoodie,Crewneck Sweater,Hoodie,LS Shirt,LS Shirt,SS Shirt,LS Shirt,LS Shirt
Annmarie,Castros,Conroe,TX,annmarie_castros@gmail.com,Q1,L,LS Shirt,Hoodie,LS Shirt,Zip up Jacket,LS Shirt,LS Shirt,Button Down Shirt,LS Shirt,Hoodie,Polo Shirt
Antione,Onofrio,San Bernardino,CA,aonofrio@onofrio.com,Q1,L,Polo Shirt,Hoodie,Zip up Jacket,Hoodie,SS Shirt,SS Shirt,LS Shirt,Crewneck Sweater,Hoodie,SS Shirt
Arlene,Klusman,New Orleans,LA,arlene_klusman@gmail.com,Q1,XL,Crewneck Sweater,SS Shirt,LS Shirt,Zip up Jacket,LS Shirt,Button Down Shirt,LS Shirt,SS Shirt,SS Shirt,SS Shirt
Arlette,Honeywell,Jacksonville,FL,ahoneywell@honeywell.com,Q1,S,Zip up Jacket,Zip up Jacket,Crewneck Sweater,Zip up Jacket,Hoodie,Hoodie,Polo Shirt,Hoodie,SS Shirt,Polo Shirt
Arminda,Parvis,Phoenix,AZ,arminda@parvis.com,Q1,XS,Button Down Shirt,LS Shirt,LS Shirt,LS Shirt,SS Shirt,SS Shirt,Hoodie,Hoodie,Zip up Jacket,LS Shirt
Art,Venere,Bridgeport,NJ,art@venere.org,Q1,L,LS Shirt,Crewneck Sweater,Hoodie,SS Shirt,Hoodie,LS Shirt,SS Shirt,Button Down Shirt,LS Shirt,SS Shirt
Arthur,Farrow,Englewood,NJ,arthur.farrow@yahoo.com,Q1,M,Hoodie,SS Shirt,SS Shirt,LS Shirt,Zip up Jacket,LS Shirt,Zip up Jacket,SS Shirt,SS Shirt,Button Down Shirt
Ashlyn,Pinilla,Opa Locka,FL,apinilla@cox.net,Q1,S,LS Shirt,Zip up Jacket,Crewneck Sweater,Polo Shirt,Zip up Jacket,Hoodie,Zip up Jacket,SS Shirt,Hoodie,Hoodie
Audra,Kohnert,Nashville,TN,audra@kohnert.com,Q1,XS,Zip up Jacket,Hoodie,SS Shirt,SS Shirt,SS Shirt,SS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,LS Shirt
Audry,Yaw,Brandon,FL,audry.yaw@yaw.org,Q1,XL,LS Shirt,Crewneck Sweater,Hoodie,LS Shirt,Hoodie,LS Shirt,SS Shirt,SS Shirt,Hoodie,SS Shirt
Avery,Steier,Orlando,FL,avery@cox.net,Q1,S,LS Shirt,SS Shirt,SS Shirt,SS Shirt,LS Shirt,Crewneck Sweater,Polo Shirt,Crewneck Sweater,Hoodie,SS Shirt
Barbra,Adkin,Brooklyn,NY,badkin@hotmail.com,Q1,L,LS Shirt,Hoodie,Zip up Jacket,Hoodie,Zip up Jacket,SS Shirt,Crewneck Sweater,SS Shirt,Zip up Jacket,Hoodie
Barrett,Toyama,Kennedale,TX,barrett.toyama@toyama.org,Q1,S,Button Down Shirt,SS Shirt,Polo Shirt,LS Shirt,Hoodie,Hoodie,Button Down Shirt,LS Shirt,LS Shirt,LS Shirt
Beatriz,Corrington,Middleboro,MA,beatriz@yahoo.com,Q1,L,Button Down Shirt,Hoodie,LS Shirt,Hoodie,LS Shirt,SS Shirt,Hoodie,Hoodie,Hoodie,Zip up Jacket
Beckie,Silvestrini,Dearborn,MI,beckie.silvestrini@silvestrini.com,Q1,XS,Hoodie,Crewneck Sweater,SS Shirt,SS Shirt,Zip up Jacket,Button Down Shirt,Hoodie,LS Shirt,Zip up Jacket,Hoodie
Becky,Mirafuentes,Plainfield,NJ,becky.mirafuentes@mirafuentes.com,Q1,L,Button Down Shirt,Hoodie,Hoodie,Zip up Jacket,SS Shirt,Hoodie,SS Shirt,Button Down Shirt,LS Shirt,Hoodie
Belen,Strassner,Douglasville,GA,belen_strassner@aol.com,Q1,XXL,SS Shirt,SS Shirt,SS Shirt,Hoodie,Hoodie,Zip up Jacket,LS Shirt,SS Shirt,Hoodie,LS Shirt
Benedict,Sama,Saint Louis,MO,bsama@cox.net,Q1,XL,Zip up Jacket,SS Shirt,Zip up Jacket,Crewneck Sweater,LS Shirt,SS Shirt,Hoodie,LS Shirt,Hoodie,Zip up Jacket
Benton,Skursky,Gardena,CA,benton.skursky@aol.com,Q1,L,Zip up Jacket,Hoodie,LS Shirt,Hoodie,Crewneck Sweater,Crewneck Sweater,Hoodie,SS Shirt,Button Down Shirt,LS Shirt
Bernardine,Rodefer,Memphis,TN,bernardine_rodefer@yahoo.com,Q1,L,LS Shirt,Zip up Jacket,SS Shirt,LS Shirt,LS Shirt,Zip up Jacket,Hoodie,Hoodie,Button Down Shirt,Button Down Shirt
Bernardo,Figeroa,Conroe,TX,bfigeroa@aol.com,Q1,XS,LS Shirt,LS Shirt,LS Shirt,Hoodie,Hoodie,Hoodie,SS Shirt,LS Shirt,LS Shirt,Hoodie
Bette,Nicka,Aston,PA,bette_nicka@cox.net,Q1,S,LS Shirt,Hoodie,Hoodie,SS Shirt,Polo Shirt,Zip up Jacket,SS Shirt,Crewneck Sweater,SS Shirt,SS Shirt
Billye,Miro,Pearl,MS,billye_miro@cox.net,Q1,S,Zip up Jacket,LS Shirt,Crewneck Sweater,Hoodie,Zip up Jacket,LS Shirt,LS Shirt,Polo Shirt,Hoodie,Hoodie
Blair,Malet,Philadelphia,PA,bmalet@yahoo.com,Q1,M,SS Shirt,Button Down Shirt,SS Shirt,Zip up Jacket,Crewneck Sweater,SS Shirt,Hoodie,LS Shirt,SS Shirt,LS Shirt
Blondell,Pugh,Providence,RI,bpugh@aol.com,Q1,L,Hoodie,SS Shirt,SS Shirt,Hoodie,Crewneck Sweater,Crewneck Sweater,Crewneck Sweater,Hoodie,LS Shirt,LS Shirt
Bobbye,Rhym,San Carlos,CA,brhym@rhym.com,Q1,M,LS Shirt,LS Shirt,Hoodie,Zip up Jacket,LS Shirt,Button Down Shirt,SS Shirt,LS Shirt,Hoodie,SS Shirt
Bok,Isaacs,Bronx,NY,bok.isaacs@aol.com,Q1,L,Zip up Jacket,Hoodie,Hoodie,LS Shirt,Zip up Jacket,LS Shirt,LS Shirt,SS Shirt,Hoodie,Hoodie
Brandon,Callaro,Honolulu,HI,brandon_callaro@hotmail.com,Q1,L,Zip up Jacket,Hoodie,Zip up Jacket,Zip up Jacket,Zip up Jacket,Button Down Shirt,SS Shirt,Hoodie,SS Shirt,LS Shirt
Brett,Mccullan,La Mesa,CA,brett.mccullan@mccullan.com,Q1,L,Zip up Jacket,Crewneck Sweater,LS Shirt,Hoodie,Hoodie,LS Shirt,LS Shirt,SS Shirt,Polo Shirt,Hoodie
Britt,Galam,Hatfield,PA,britt@galam.org,Q1,L,Zip up Jacket,Hoodie,SS Shirt,LS Shirt,SS Shirt,Hoodie,Hoodie,Zip up Jacket,LS Shirt,Zip up Jacket
Brittni,Gillaspie,Boise,ID,bgillaspie@gillaspie.com,Q1,XS,SS Shirt,SS Shirt,Crewneck Sweater,Hoodie,Crewneck Sweater,Crewneck Sweater,Crewneck Sweater,SS Shirt,Hoodie,LS Shirt
Brock,Bolognia,New York,NY,bbolognia@yahoo.com,Q1,M,Zip up Jacket,Zip up Jacket,Hoodie,LS Shirt,Zip up Jacket,LS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,SS Shirt
Buddy,Cloney,Strongsville,OH,buddy.cloney@yahoo.com,Q1,S,Zip up Jacket,LS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,Hoodie,SS Shirt,SS Shirt,LS Shirt,LS Shirt
Bulah,Padilla,Waco,TX,bulah_padilla@hotmail.com,Q1,XL,Hoodie,Crewneck Sweater,SS Shirt,Polo Shirt,Crewneck Sweater,Zip up Jacket,LS Shirt,Crewneck Sweater,Button Down Shirt,Hoodie
Caitlin,Julia,Johnston,RI,caitlin.julia@julia.org,Q1,L,Zip up Jacket,SS Shirt,Hoodie,Zip up Jacket,Hoodie,Zip up Jacket,SS Shirt,SS Shirt,SS Shirt,LS Shirt
Cammy,Albares,Laredo,TX,calbares@gmail.com,Q1,XL,Hoodie,SS Shirt,SS Shirt,SS Shirt,Crewneck Sweater,Hoodie,Button Down Shirt,LS Shirt,LS Shirt,SS Shirt
Candida,Corbley,Somerville,NJ,candida_corbley@hotmail.com,Q1,M,Zip up Jacket,LS Shirt,Polo Shirt,LS Shirt,SS Shirt,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,LS Shirt
Caprice,Suell,Nashville,TN,caprice@aol.com,Q1,S,LS Shirt,Crewneck Sweater,Hoodie,Hoodie,Hoodie,Zip up Jacket,LS Shirt,Polo Shirt,Button Down Shirt,Zip up Jacket
Carey,Dopico,Indianapolis,IN,carey_dopico@dopico.org,Q1,XS,SS Shirt,Hoodie,SS Shirt,LS Shirt,Zip up Jacket,LS Shirt,Zip up Jacket,LS Shirt,SS Shirt,Hoodie
Carin,Deleo,Little Rock,AR,cdeleo@deleo.com,Q1,S,LS Shirt,LS Shirt,Crewneck Sweater,Crewneck Sweater,Hoodie,Hoodie,Crewneck Sweater,Hoodie,SS Shirt,LS Shirt
Carissa,Batman,Eugene,OR,carissa.batman@yahoo.com,Q1,S,Hoodie,SS Shirt,LS Shirt,Hoodie,Button Down Shirt,LS Shirt,Hoodie,SS Shirt,Hoodie,SS Shirt
Carlee,Boulter,Abilene,KS,carlee.boulter@hotmail.com,Q1,XS,Polo Shirt,Hoodie,Zip up Jacket,Crewneck Sweater,Zip up Jacket,Hoodie,Button Down Shirt,LS Shirt,Crewneck Sweater,Polo Shirt
Carma,Vanheusen,San Leandro,CA,carma@cox.net,Q1,S,Button Down Shirt,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,Polo Shirt,Polo Shirt,SS Shirt,LS Shirt,LS Shirt
Carmela,Cookey,Chicago,IL,ccookey@cookey.org,Q1,S,SS Shirt,SS Shirt,Hoodie,LS Shirt,SS Shirt,SS Shirt,LS Shirt,Crewneck Sweater,Zip up Jacket,Zip up Jacket
Carmelina,Lindall,Littleton,CO,carmelina_lindall@lindall.com,Q1,XS,LS Shirt,Crewneck Sweater,Crewneck Sweater,LS Shirt,LS Shirt,Hoodie,SS Shirt,Zip up Jacket,Hoodie,Polo Shirt
Carmen,Sweigard,Somerset,NJ,csweigard@sweigard.com,Q1,M,Crewneck Sweater,Hoodie,LS Shirt,LS Shirt,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,Hoodie,SS Shirt
Casie,Good,Nashville,TN,casie.good@aol.com,Q1,M,Hoodie,LS Shirt,Zip up Jacket,Hoodie,Zip up Jacket,Hoodie,LS Shirt,SS Shirt,LS Shirt,LS Shirt
Cassi,Wildfong,Rolling Meadows,IL,cassi.wildfong@aol.com,Q1,M,Zip up Jacket,LS Shirt,SS Shirt,Polo Shirt,Zip up Jacket,Polo Shirt,Hoodie,Hoodie,SS Shirt,LS Shirt
Catalina,Tillotson,Margate City,NJ,catalina@hotmail.com,Q1,M,LS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,Hoodie,LS Shirt,LS Shirt,Crewneck Sweater,LS Shirt,Polo Shirt
Catarina,Gleich,Denville,NJ,catarina_gleich@hotmail.com,Q1,XS,SS Shirt,Hoodie,SS Shirt,Zip up Jacket,LS Shirt,SS Shirt,Polo Shirt,SS Shirt,SS Shirt,Hoodie
Cathrine,Pontoriero,Amarillo,TX,cathrine.pontoriero@pontoriero.com,Q1,XL,SS Shirt,SS Shirt,Hoodie,SS Shirt,Crewneck Sweater,Button Down Shirt,Crewneck Sweater,LS Shirt,Hoodie,Zip up Jacket
Cecil,Lapage,Union City,NJ,clapage@lapage.com,Q1,S,Zip up Jacket,Crewneck Sweater,Zip up Jacket,SS Shirt,LS Shirt,Zip up Jacket,SS Shirt,Button Down Shirt,SS Shirt,Polo Shirt
Cecilia,Colaizzo,Madison,WI,cecilia_colaizzo@colaizzo.com,Q1,XS,LS Shirt,LS Shirt,Hoodie,Hoodie,SS Shirt,Hoodie,LS Shirt,LS Shirt,Hoodie,Hoodie
Cecily,Hollack,Austin,TX,cecily@hollack.org,Q1,L,SS Shirt,SS Shirt,SS Shirt,SS Shirt,SS Shirt,Button Down Shirt,Hoodie,Crewneck Sweater,LS Shirt,SS Shirt
Celeste,Korando,Lynbrook,NY,ckorando@hotmail.com,Q1,L,Hoodie,Crewneck Sweater,LS Shirt,LS Shirt,Hoodie,Zip up Jacket,Zip up Jacket,Zip up Jacket,Zip up Jacket,LS Shirt
Ceola,Setter,Warren,ME,ceola.setter@setter.org,Q1,S,Crewneck Sweater,Hoodie,LS Shirt,Crewneck Sweater,SS Shirt,LS Shirt,Hoodie,LS Shirt,SS Shirt,Hoodie
Chanel,Caudy,Shawnee,KS,chanel.caudy@caudy.org,Q1,S,Button Down Shirt,SS Shirt,SS Shirt,Crewneck Sweater,Hoodie,LS Shirt,LS Shirt,Button Down Shirt,LS Shirt,SS Shirt
Chantell,Maynerich,Saint Paul,MN,chantell@yahoo.com,Q1,XXL,SS Shirt,SS Shirt,LS Shirt,LS Shirt,Hoodie,Zip up Jacket,SS Shirt,SS Shirt,Crewneck Sweater,LS Shirt
Charlene,Hamilton,Santa Rosa,CA,charlene.hamilton@hotmail.com,Q1,XL,Crewneck Sweater,Hoodie,LS Shirt,Hoodie,SS Shirt,SS Shirt,LS Shirt,Hoodie,Hoodie,Button Down Shirt
Chau,Kitzman,Beverly Hills,CA,chau@gmail.com,Q1,XL,SS Shirt,Crewneck Sweater,Crewneck Sweater,Crewneck Sweater,Zip up Jacket,Hoodie,Polo Shirt,LS Shirt,LS Shirt,SS Shirt
Chauncey,Motley,Orlando,FL,chauncey_motley@aol.com,Q1,M,Hoodie,Zip up Jacket,LS Shirt,LS Shirt,LS Shirt,Hoodie,Crewneck Sweater,Hoodie,Button Down Shirt,SS Shirt
Chaya,Malvin,Ann Arbor,MI,chaya@malvin.com,Q1,XS,LS Shirt,Hoodie,Zip up Jacket,Crewneck Sweater,LS Shirt,SS Shirt,SS Shirt,LS Shirt,LS Shirt,SS Shirt
Cherry,Lietz,Waterford,MI,cherry@lietz.com,Q1,XS,Zip up Jacket,LS Shirt,LS Shirt,Hoodie,SS Shirt,LS Shirt,LS Shirt,SS Shirt,LS Shirt,SS Shirt
Cheryl,Haroldson,Atlantic City,NJ,cheryl@haroldson.org,Q1,XXL,Zip up Jacket,Hoodie,SS Shirt,Zip up Jacket,Zip up Jacket,SS Shirt,Hoodie,Crewneck Sweater,Hoodie,SS Shirt
Christiane,Eschberger,Phoenix,AZ,christiane.eschberger@yahoo.com,Q1,XL,SS Shirt,SS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,Button Down Shirt,SS Shirt,SS Shirt,LS Shirt,SS Shirt
Ciara,Ventura,Port Jervis,NY,cventura@yahoo.com,Q1,S,Hoodie,Hoodie,Crewneck Sweater,SS Shirt,Button Down Shirt,Hoodie,LS Shirt,SS Shirt,LS Shirt,LS Shirt
Claribel,Varriano,Perrysburg,OH,claribel_varriano@cox.net,Q1,XS,LS Shirt,LS Shirt,LS Shirt,Hoodie,Zip up Jacket,Zip up Jacket,Button Down Shirt,LS Shirt,SS Shirt,SS Shirt
Clay,Hoa,Reno,NV,choa@hoa.org,Q1,S,LS Shirt,LS Shirt,Hoodie,SS Shirt,SS Shirt,LS Shirt,SS Shirt,SS Shirt,Button Down Shirt,LS Shirt
Clorinda,Heimann,Escondido,CA,clorinda.heimann@hotmail.com,Q1,M,Zip up Jacket,Polo Shirt,Zip up Jacket,SS Shirt,SS Shirt,Hoodie,Crewneck Sweater,Hoodie,LS Shirt,Button Down Shirt
Colette,Kardas,Omaha,NE,colette.kardas@yahoo.com,Q1,L,LS Shirt,Hoodie,LS Shirt,Hoodie,Zip up Jacket,Hoodie,LS Shirt,SS Shirt,Button Down Shirt,SS Shirt
Cordelia,Storment,Lafayette,LA,cordelia_storment@aol.com,Q1,M,SS Shirt,SS Shirt,LS Shirt,SS Shirt,LS Shirt,Zip up Jacket,Zip up Jacket,Hoodie,SS Shirt,Hoodie
Corinne,Loder,North Attleboro,MA,corinne@loder.org,Q1,M,Hoodie,LS Shirt,Hoodie,SS Shirt,Zip up Jacket,Polo Shirt,Button Down Shirt,Crewneck Sweater,LS Shirt,LS Shirt
Cory,Gibes,San Gabriel,CA,cory.gibes@gmail.com,Q1,L,Zip up Jacket,Hoodie,LS Shirt,SS Shirt,SS Shirt,LS Shirt,Button Down Shirt,Button Down Shirt,SS Shirt,LS Shirt
Cristal,Samara,Los Angeles,CA,cristal@cox.net,Q1,S,SS Shirt,SS Shirt,Zip up Jacket,Hoodie,Zip up Jacket,Crewneck Sweater,Zip up Jacket,LS Shirt,Hoodie,LS Shirt
Cristy,Lother,Escondido,CA,cristy@lother.com,Q1,S,SS Shirt,SS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,Polo Shirt,Hoodie,SS Shirt,LS Shirt,Hoodie
Cyndy,Goldammer,Burnsville,MN,cgoldammer@cox.net,Q1,XL,Hoodie,Hoodie,Hoodie,LS Shirt,Hoodie,Button Down Shirt,LS Shirt,LS Shirt,Hoodie,Hoodie
Cyril,Daufeldt,New York,NY,cyril_daufeldt@daufeldt.com,Q1,XS,Zip up Jacket,LS Shirt,Crewneck Sweater,Zip up Jacket,SS Shirt,Hoodie,Hoodie,Hoodie,LS Shirt,SS Shirt
Dalene,Riden,Plaistow,NH,dalene.riden@aol.com,Q1,XS,LS Shirt,LS Shirt,LS Shirt,Hoodie,Zip up Jacket,Zip up Jacket,SS Shirt,Zip up Jacket,Hoodie,LS Shirt
Dalene,Schoeneck,Philadelphia,PA,dalene@schoeneck.org,Q1,M,Crewneck Sweater,SS Shirt,SS Shirt,Crewneck Sweater,SS Shirt,SS Shirt,SS Shirt,Zip up Jacket,Hoodie,Hoodie
Danica,Bruschke,Waco,TX,danica_bruschke@gmail.com,Q1,XL,Button Down Shirt,Crewneck Sweater,Crewneck Sweater,Crewneck Sweater,Hoodie,Hoodie,Crewneck Sweater,SS Shirt,Polo Shirt,LS Shirt
Daniel,Perruzza,Santa Ana,CA,dperruzza@perruzza.com,Q1,M,Hoodie,Polo Shirt,Crewneck Sweater,LS Shirt,SS Shirt,Button Down Shirt,SS Shirt,SS Shirt,SS Shirt,LS Shirt
Daniela,Comnick,Trenton,NJ,dcomnick@cox.net,Q1,L,Crewneck Sweater,Hoodie,SS Shirt,Crewneck Sweater,LS Shirt,Hoodie,Hoodie,LS Shirt,LS Shirt,Hoodie
Daren,Weirather,Milwaukee,WI,dweirather@aol.com,Q1,XL,SS Shirt,Button Down Shirt,SS Shirt,Hoodie,Crewneck Sweater,Zip up Jacket,Zip up Jacket,Polo Shirt,Zip up Jacket,LS Shirt
Daron,Dinos,Highland Park,IL,daron_dinos@cox.net,Q1,L,Button Down Shirt,LS Shirt,LS Shirt,LS Shirt,SS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,SS Shirt,SS Shirt
Dean,Ketelsen,Hicksville,NY,dean_ketelsen@gmail.com,Q1,XS,Hoodie,SS Shirt,Zip up Jacket,Hoodie,LS Shirt,SS Shirt,Hoodie,Hoodie,Crewneck Sweater,Crewneck Sweater
Deandrea,Hughey,Burlington,NC,deandrea@yahoo.com,Q1,XL,SS Shirt,Hoodie,LS Shirt,Zip up Jacket,Zip up Jacket,Hoodie,Zip up Jacket,SS Shirt,LS Shirt,LS Shirt
Deeanna,Juhas,Huntingdon Valley,PA,deeanna_juhas@gmail.com,Q1,L,LS Shirt,LS Shirt,Zip up Jacket,Hoodie,Hoodie,Zip up Jacket,Button Down Shirt,LS Shirt,SS Shirt,Hoodie
Delisa,Crupi,Newark,NJ,delisa.crupi@crupi.com,Q1,M,Zip up Jacket,Hoodie,Crewneck Sweater,SS Shirt,Zip up Jacket,LS Shirt,LS Shirt,SS Shirt,LS Shirt,LS Shirt
Delmy,Ahle,Providence,RI,delmy.ahle@hotmail.com,Q1,M,Button Down Shirt,Crewneck Sweater,Hoodie,LS Shirt,Hoodie,SS Shirt,Hoodie,Hoodie,Crewneck Sweater,Zip up Jacket
Denise,Patak,Orlando,FL,denise@patak.org,Q1,L,Button Down Shirt,LS Shirt,LS Shirt,Crewneck Sweater,LS Shirt,Zip up Jacket,SS Shirt,Hoodie,Hoodie,LS Shirt
Deonna,Kippley,Southfield,MI,deonna_kippley@hotmail.com,Q1,M,Crewneck Sweater,Hoodie,Hoodie,SS Shirt,Hoodie,SS Shirt,Button Down Shirt,LS Shirt,LS Shirt,Hoodie
Derick,Dhamer,New York,NY,ddhamer@cox.net,Q1,S,SS Shirt,Crewneck Sweater,Hoodie,SS Shirt,Crewneck Sweater,Crewneck Sweater,LS Shirt,Crewneck Sweater,Hoodie,LS Shirt
Detra,Coyier,Aberdeen,MD,detra@aol.com,Q1,XS,Hoodie,Hoodie,SS Shirt,LS Shirt,LS Shirt,LS Shirt,SS Shirt,LS Shirt,Hoodie,LS Shirt
Devora,Perez,Oakland,CA,devora_perez@perez.org,Q1,L,Zip up Jacket,SS Shirt,Zip up Jacket,SS Shirt,Zip up Jacket,SS Shirt,Polo Shirt,LS Shirt,LS Shirt,Button Down Shirt
Devorah,Chickering,Clovis,NM,devorah@hotmail.com,Q1,M,Hoodie,Crewneck Sweater,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,SS Shirt,Hoodie,SS Shirt,SS Shirt
Diane,Devreese,Saint Joseph,MO,diane@cox.net,Q1,L,Button Down Shirt,SS Shirt,LS Shirt,LS Shirt,SS Shirt,LS Shirt,Hoodie,SS Shirt,Hoodie,LS Shirt
Dick,Wenzinger,Gardena,CA,dick@yahoo.com,Q1,M,Crewneck Sweater,Hoodie,SS Shirt,Zip up Jacket,SS Shirt,SS Shirt,Zip up Jacket,LS Shirt,Polo Shirt,Hoodie
